
These predictions were generated by MoorDyn (v2.0.02022-12-08) on 20-Sep-2023 at 07:59:09.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)
    0.0000   3.3318898E+06   3.0836435E+06   3.1757095E+06
    0.0100   3.3318902E+06   3.0836440E+06   3.1757088E+06
    0.0200   3.3318908E+06   3.0836445E+06   3.1757072E+06
    0.0300   3.3318918E+06   3.0836452E+06   3.1757058E+06
    0.0400   3.3318928E+06   3.0836460E+06   3.1757040E+06
    0.0500   3.3318938E+06   3.0836470E+06   3.1757020E+06
    0.0600   3.3318950E+06   3.0836478E+06   3.1757000E+06
    0.0700   3.3318960E+06   3.0836488E+06   3.1756982E+06
    0.0800   3.3318968E+06   3.0836495E+06   3.1756968E+06
    0.0900   3.3318975E+06   3.0836500E+06   3.1756955E+06
    0.1000   3.3318980E+06   3.0836505E+06   3.1756945E+06
    0.1100   3.3318982E+06   3.0836508E+06   3.1756942E+06
    0.1200   3.3318982E+06   3.0836508E+06   3.1756942E+06
    0.1300   3.3318980E+06   3.0836505E+06   3.1756948E+06
    0.1400   3.3318978E+06   3.0836500E+06   3.1756955E+06
    0.1500   3.3318970E+06   3.0836495E+06   3.1756968E+06
    0.1600   3.3318962E+06   3.0836488E+06   3.1756982E+06
    0.1700   3.3318952E+06   3.0836480E+06   3.1757000E+06
    0.1800   3.3318942E+06   3.0836472E+06   3.1757018E+06
    0.1900   3.3318932E+06   3.0836465E+06   3.1757035E+06
    0.2000   3.3318922E+06   3.0836458E+06   3.1757050E+06
    0.2100   3.3318915E+06   3.0836450E+06   3.1757065E+06
    0.2200   3.3318908E+06   3.0836445E+06   3.1757078E+06
    0.2300   3.3318902E+06   3.0836442E+06   3.1757085E+06
    0.2400   3.3318900E+06   3.0836440E+06   3.1757088E+06
    0.2500   3.3318900E+06   3.0836440E+06   3.1757088E+06
    0.2600   3.3318900E+06   3.0836440E+06   3.1757085E+06
    0.2700   3.3318905E+06   3.0836445E+06   3.1757078E+06
    0.2800   3.3318910E+06   3.0836448E+06   3.1757068E+06
    0.2900   3.3318915E+06   3.0836452E+06   3.1757058E+06
    0.3000   3.3318922E+06   3.0836460E+06   3.1757042E+06
    0.3100   3.3318930E+06   3.0836465E+06   3.1757030E+06
    0.3200   3.3318938E+06   3.0836472E+06   3.1757018E+06
    0.3300   3.3318945E+06   3.0836478E+06   3.1757005E+06
    0.3400   3.3318950E+06   3.0836482E+06   3.1756995E+06
    0.3500   3.3318955E+06   3.0836485E+06   3.1756988E+06
    0.3600   3.3318958E+06   3.0836488E+06   3.1756982E+06
    0.3700   3.3318958E+06   3.0836490E+06   3.1756982E+06
    0.3800   3.3318955E+06   3.0836488E+06   3.1756985E+06
    0.3900   3.3318952E+06   3.0836485E+06   3.1756990E+06
    0.4000   3.3318948E+06   3.0836482E+06   3.1757000E+06
    0.4100   3.3318942E+06   3.0836478E+06   3.1757010E+06
    0.4200   3.3318935E+06   3.0836470E+06   3.1757022E+06
    0.4300   3.3318928E+06   3.0836465E+06   3.1757038E+06
    0.4400   3.3318920E+06   3.0836458E+06   3.1757050E+06
