
Predictions were generated on 20-Sep-2023 at 07:59:10 using OpenFAST, compiled as a 64-bit application using single precision at commit v3.5.0
 linked with  NWTC Subroutine Library; ElastoDyn; HydroDyn; MoorDyn (v2.0.0, 2022-12-08)

Description from the FAST input file: Generated with AeroElasticSE FAST driver

Time	PtfmSurge	PtfmSway	PtfmHeave	PtfmRoll	PtfmPitch	PtfmYaw	TwrBsMxt	TwrBsMyt	TwrBsMzt	TwrBsFxt	TwrBsFyt	TwrBsFzt	TTDspFA	TTDspSS	FAIRTEN1	FAIRTEN2	FAIRTEN3
(s)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(m)	(m)	(N)	(N)	(N)
    0.0000	 3.187E+00	-1.984E+00	 1.950E-02	-4.290E-01	-1.862E-01	 2.100E-02	-1.377E+04	-1.009E+05	-4.418E+02	-1.229E+03	 1.150E+02	-1.537E+04	-1.550E-01	 2.400E-02	 3.332E+06	 3.084E+06	 3.176E+06
    0.0500	 3.187E+00	-1.984E+00	 1.953E-02	-4.290E-01	-1.864E-01	 2.100E-02	-1.401E+04	-7.166E+04	-4.214E+02	-3.702E+02	 1.220E+02	-1.619E+04	-1.534E-01	 2.401E-02	 3.332E+06	 3.084E+06	 3.176E+06
    0.1000	 3.187E+00	-1.984E+00	 1.957E-02	-4.290E-01	-1.867E-01	 2.100E-02	-1.426E+04	-3.166E+04	-3.998E+02	 8.027E+02	 1.294E+02	-1.733E+04	-1.510E-01	 2.402E-02	 3.332E+06	 3.084E+06	 3.176E+06
    0.1500	 3.187E+00	-1.984E+00	 1.958E-02	-4.290E-01	-1.867E-01	 2.100E-02	-1.420E+04	-3.234E+04	-4.046E+02	 7.836E+02	 1.277E+02	-1.731E+04	-1.509E-01	 2.402E-02	 3.332E+06	 3.084E+06	 3.176E+06
    0.2000	 3.187E+00	-1.984E+00	 1.954E-02	-4.290E-01	-1.864E-01	 2.100E-02	-1.398E+04	-6.849E+04	-4.240E+02	-2.735E+02	 1.211E+02	-1.629E+04	-1.532E-01	 2.402E-02	 3.332E+06	 3.084E+06	 3.176E+06
    0.2500	 3.187E+00	-1.984E+00	 1.951E-02	-4.290E-01	-1.861E-01	 2.100E-02	-1.391E+04	-9.096E+04	-4.303E+02	-9.294E+02	 1.191E+02	-1.566E+04	-1.549E-01	 2.401E-02	 3.332E+06	 3.084E+06	 3.176E+06
    0.3000	 3.187E+00	-1.984E+00	 1.953E-02	-4.290E-01	-1.862E-01	 2.100E-02	-1.405E+04	-7.316E+04	-4.185E+02	-4.043E+02	 1.231E+02	-1.617E+04	-1.542E-01	 2.402E-02	 3.332E+06	 3.084E+06	 3.176E+06
    0.3500	 3.187E+00	-1.984E+00	 1.956E-02	-4.290E-01	-1.864E-01	 2.100E-02	-1.418E+04	-4.203E+04	-4.076E+02	 5.111E+02	 1.269E+02	-1.705E+04	-1.525E-01	 2.403E-02	 3.332E+06	 3.084E+06	 3.176E+06
    0.4000	 3.187E+00	-1.984E+00	 1.957E-02	-4.290E-01	-1.864E-01	 2.100E-02	-1.414E+04	-3.830E+04	-4.112E+02	 6.237E+02	 1.256E+02	-1.716E+04	-1.524E-01	 2.403E-02	 3.332E+06	 3.084E+06	 3.176E+06
    0.4500	 3.187E+00	-1.984E+00	 1.955E-02	-4.290E-01	-1.861E-01	 2.100E-02	-1.402E+04	-6.384E+04	-4.218E+02	-1.211E+02	 1.221E+02	-1.644E+04	-1.542E-01	 2.403E-02	 3.332E+06	 3.084E+06	 3.176E+06
    0.5000	 3.187E+00	-1.984E+00	 1.952E-02	-4.290E-01	-1.859E-01	 2.100E-02	-1.399E+04	-8.362E+04	-4.244E+02	-6.964E+02	 1.213E+02	-1.589E+04	-1.558E-01	 2.404E-02	 3.332E+06	 3.084E+06	 3.176E+06
