
Predictions were generated on 31-Jan-2024 at 12:35:17 using OpenFAST, compiled as a 64-bit application using single precision at commit v3.5.1
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn; HydroDyn; MAP++ (<1.20.10>, <Oct-20-2023>)

Description from the FAST input file: CCT-9 Campign 4 model. Input files to be run with OpenFAST 3.5.0. GitHub branch from Lu Wang (https://github.com/luwang00/openfast/tree/dev) compiled on March 7, 2023.

Time	Wind1VelX	GenSpeed	RotSpeed	RotTorq	RotThrust	TwrBsMxt	TwrBsMyt	TwrBsMzt	TwrBsFxt	TwrBsFyt	TwrBsFzt	PtfmSurge	PtfmSway	PtfmHeave	PtfmRoll	PtfmPitch	PtfmYaw	TTDspFA	TTDspSS	YawBrFyn	RtAeroCp	RtAeroCt	RtAeroCq	RtTSR	GenPwr	BlPitchC1	Wave1Elev	HydroFxi	HydroFyi	HydroFzi	HydroMxi	HydroMyi	HydroMzi	T[1]	T[2]	T[3]
(s)	(m/s)	(rpm)	(rpm)	(kN-m)	(kN)	(kN-m)	(kN-m)	(kN-m)	(kN)	(kN)	(kN)	(m)	(m)	(m)	(deg)	(deg)	(deg)	(m)	(m)	(kN)	(-)	(-)	(-)	(-)	(kW)	(deg)	(m)	(N)	(N)	(N)	(N-m)	(N-m)	(N-m)	[N]	[N]	[N]
    0.0000	 1.000E+01	 5.000E+00	 5.000E+00	-8.552E-05	 1.419E+03	 8.256E+04	-4.962E+04	 4.328E+03	-5.667E+02	-7.742E+02	-1.781E+04	-1.900E-01	-5.639E-01	-2.780E-02	 2.477E+00	 1.065E+00	-4.133E-01	-9.120E-02	 8.235E-16	-4.898E+02	 2.387E-01	 4.150E-01	 3.735E-02	 6.390E+00	-8.995E-05	 1.700E+00	 0.000E+00	 2.997E+05	-2.408E-03	 2.033E+08	-9.226E+07	-4.279E+07	 2.642E+04	 3.357E+06	 3.266E+06	 3.356E+06
    0.0500	 1.000E+01	 5.009E+00	 5.009E+00	-1.005E-03	 1.414E+03	 8.282E+04	-4.159E+04	 3.340E+03	-3.602E+02	-7.770E+02	-1.790E+04	-1.900E-01	-5.639E-01	-2.779E-02	 2.477E+00	 1.065E+00	-4.133E-01	-8.964E-02	 3.401E-16	-4.926E+02	 2.407E-01	 4.188E-01	 3.745E-02	 6.428E+00	-8.995E-05	 1.700E+00	 0.000E+00	 2.319E+05	-3.236E-02	 2.034E+08	-9.226E+07	-4.208E+07	 3.551E+05	 3.357E+06	 3.266E+06	 3.356E+06
    0.1000	 1.000E+01	 5.018E+00	 5.018E+00	 1.304E-03	 1.410E+03	 8.293E+04	-2.173E+04	 2.824E+03	 1.462E+02	-7.782E+02	-1.810E+04	-1.901E-01	-5.639E-01	-2.778E-02	 2.477E+00	 1.065E+00	-4.133E-01	-8.523E-02	-4.615E-16	-4.938E+02	 2.426E-01	 4.224E-01	 3.751E-02	 6.466E+00	-8.996E-05	 1.700E+00	 0.000E+00	 6.528E+04	 1.141E-02	 2.035E+08	-9.226E+07	-4.033E+07	-1.252E+05	 3.357E+06	 3.266E+06	 3.356E+06
    0.1500	 1.000E+01	 5.026E+00	 5.026E+00	 1.914E-04	 1.411E+03	 8.281E+04	 1.887E+03	 3.047E+03	 7.353E+02	-7.771E+02	-1.833E+04	-1.902E-01	-5.639E-01	-2.777E-02	 2.477E+00	 1.065E+00	-4.133E-01	-7.865E-02	-1.259E-16	-4.927E+02	 2.446E-01	 4.263E-01	 3.760E-02	 6.504E+00	-8.996E-05	 1.700E+00	 0.000E+00	-1.287E+05	 1.141E-01	 2.036E+08	-9.226E+07	-3.830E+07	-1.252E+06	 3.357E+06	 3.266E+06	 3.356E+06
    0.2000	 1.000E+01	 5.035E+00	 5.035E+00	-7.582E-04	 1.421E+03	 8.245E+04	 2.014E+04	 3.943E+03	 1.162E+03	-7.736E+02	-1.849E+04	-1.903E-01	-5.639E-01	-2.779E-02	 2.477E+00	 1.065E+00	-4.133E-01	-7.070E-02	-1.988E-16	-4.892E+02	 2.465E-01	 4.300E-01	 3.767E-02	 6.542E+00	-8.997E-05	 1.700E+00	 0.000E+00	-2.694E+05	 2.366E-01	 2.037E+08	-9.226E+07	-3.683E+07	-2.596E+06	 3.357E+06	 3.266E+06	 3.356E+06
    0.2500	 1.000E+01	 5.044E+00	 5.044E+00	-2.090E-04	 1.441E+03	 8.194E+04	 2.676E+04	 5.142E+03	 1.259E+03	-7.688E+02	-1.851E+04	-1.903E-01	-5.639E-01	-2.783E-02	 2.477E+00	 1.065E+00	-4.133E-01	-6.196E-02	-2.113E-16	-4.843E+02	 2.477E-01	 4.332E-01	 3.765E-02	 6.580E+00	-8.997E-05	 1.700E+00	 0.000E+00	-3.015E+05	 3.320E-01	 2.037E+08	-9.226E+07	-3.650E+07	-3.642E+06	 3.357E+06	 3.266E+06	 3.356E+06
    0.3000	 1.000E+01	 5.052E+00	 5.052E+00	-1.227E-03	 1.469E+03	 8.148E+04	 2.098E+04	 6.131E+03	 1.006E+03	-7.645E+02	-1.838E+04	-1.903E-01	-5.639E-01	-2.789E-02	 2.477E+00	 1.065E+00	-4.132E-01	-5.259E-02	 1.006E-15	-4.799E+02	 2.484E-01	 4.357E-01	 3.754E-02	 6.617E+00	-8.997E-05	 1.700E+00	 0.000E+00	-2.186E+05	 3.660E-01	 2.037E+08	-9.226E+07	-3.737E+07	-4.016E+06	 3.357E+06	 3.266E+06	 3.356E+06
    0.3500	 1.000E+01	 5.061E+00	 5.061E+00	 7.679E-04	 1.501E+03	 8.125E+04	 7.704E+03	 6.563E+03	 5.370E+02	-7.624E+02	-1.817E+04	-1.901E-01	-5.639E-01	-2.798E-02	 2.477E+00	 1.065E+00	-4.131E-01	-4.226E-02	 4.779E-16	-4.778E+02	 2.494E-01	 4.384E-01	 3.748E-02	 6.653E+00	-8.998E-05	 1.700E+00	 0.000E+00	-6.446E+04	 3.363E-01	 2.035E+08	-9.226E+07	-3.898E+07	-3.689E+06	 3.357E+06	 3.266E+06	 3.356E+06
    0.4000	 1.000E+01	 5.069E+00	 5.069E+00	-2.558E-03	 1.535E+03	 8.134E+04	-4.751E+03	 6.342E+03	 7.655E+01	-7.632E+02	-1.796E+04	-1.900E-01	-5.639E-01	-2.808E-02	 2.477E+00	 1.065E+00	-4.130E-01	-3.037E-02	-6.415E-16	-4.786E+02	 2.510E-01	 4.420E-01	 3.754E-02	 6.687E+00	-8.998E-05	 1.700E+00	 0.000E+00	 8.700E+04	 2.688E-01	 2.034E+08	-9.226E+07	-4.057E+07	-2.950E+06	 3.357E+06	 3.266E+06	 3.356E+06
