
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 15-Feb-2024 at 11:56:22.

 
 
 
      Time        ANCHTEN1        ANCHTEN2        ANCHTEN3        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.0000   1.6641740E+06   1.2276645E+06   1.2276645E+06   2.7651700E+06   2.3021388E+06   2.3021388E+06
    0.0125   1.6638390E+06   1.2277085E+06   1.2277085E+06   2.7426728E+06   2.3161178E+06   2.3141208E+06
    0.0250   1.6634949E+06   1.2277431E+06   1.2277431E+06   2.7393530E+06   2.3176188E+06   2.3155955E+06
    0.0375   1.6631422E+06   1.2277682E+06   1.2277682E+06   2.7285518E+06   2.3240720E+06   2.3215520E+06
    0.0500   1.6627816E+06   1.2277838E+06   1.2277838E+06   2.7181622E+06   2.3297650E+06   2.3271228E+06
    0.0625   1.6624139E+06   1.2277898E+06   1.2277898E+06   2.7086748E+06   2.3347500E+06   2.3324130E+06
    0.0750   1.6620394E+06   1.2277861E+06   1.2277861E+06   2.7004628E+06   2.3386942E+06   2.3371428E+06
    0.0875   1.6616590E+06   1.2277728E+06   1.2277728E+06   2.6936508E+06   2.3415258E+06   2.3412250E+06
    0.1000   1.6612731E+06   1.2277496E+06   1.2277496E+06   2.6883088E+06   2.3432278E+06   2.3445990E+06
    0.1125   1.6608826E+06   1.2277169E+06   1.2277169E+06   2.6844530E+06   2.3438210E+06   2.3472132E+06
    0.1250   1.6604880E+06   1.2276744E+06   1.2276744E+06   2.6820382E+06   2.3433755E+06   2.3490482E+06
    0.1375   1.6600901E+06   1.2276224E+06   1.2276224E+06   2.6809695E+06   2.3419960E+06   2.3501115E+06
    0.1500   1.6596896E+06   1.2275608E+06   1.2275608E+06   2.6811020E+06   2.3398165E+06   2.3504405E+06
    0.1625   1.6592872E+06   1.2274895E+06   1.2274895E+06   2.6822518E+06   2.3369922E+06   2.3500998E+06
    0.1750   1.6588836E+06   1.2274089E+06   1.2274089E+06   2.6842038E+06   2.3336910E+06   2.3491788E+06
    0.1875   1.6584794E+06   1.2273190E+06   1.2273190E+06   2.6867182E+06   2.3300900E+06   2.3477880E+06
    0.2000   1.6580754E+06   1.2272200E+06   1.2272200E+06   2.6895452E+06   2.3263665E+06   2.3460505E+06
    0.2125   1.6576720E+06   1.2271121E+06   1.2271121E+06   2.6924305E+06   2.3226955E+06   2.3440972E+06
    0.2250   1.6572688E+06   1.2269964E+06   1.2269961E+06   2.6951295E+06   2.3192415E+06   2.3420585E+06
    0.2375   1.6568625E+06   1.2268750E+06   1.2268741E+06   2.6974148E+06   2.3161585E+06   2.3400580E+06
    0.2500   1.6564438E+06   1.2267542E+06   1.2267516E+06   2.6990858E+06   2.3135828E+06   2.3382085E+06
    0.2625   1.6559891E+06   1.2266489E+06   1.2266411E+06   2.6999760E+06   2.3116300E+06   2.3366055E+06
    0.2750   1.6554501E+06   1.2265881E+06   1.2265684E+06   2.6999595E+06   2.3103918E+06   2.3353282E+06
    0.2875   1.6547396E+06   1.2266240E+06   1.2265792E+06   2.6989528E+06   2.3099330E+06   2.3344370E+06
    0.3000   1.6537201E+06   1.2268378E+06   1.2267456E+06   2.6969205E+06   2.3102865E+06   2.3339722E+06
    0.3125   1.6521994E+06   1.2273411E+06   1.2271686E+06   2.6938715E+06   2.3114525E+06   2.3339582E+06
    0.3250   1.6499400E+06   1.2282692E+06   1.2279724E+06   2.6898620E+06   2.3133958E+06   2.3344005E+06
    0.3375   1.6466856E+06   1.2297630E+06   1.2292921E+06   2.6849905E+06   2.3160458E+06   2.3352872E+06
    0.3500   1.6422015E+06   1.2319436E+06   1.2312521E+06   2.6793938E+06   2.3192992E+06   2.3365920E+06
    0.3625   1.6363208E+06   1.2348842E+06   1.2339429E+06   2.6732415E+06   2.3230230E+06   2.3382708E+06
    0.3750   1.6289866E+06   1.2385846E+06   1.2373984E+06   2.6667285E+06   2.3270622E+06   2.3402662E+06
    0.3875   1.6202788E+06   1.2429570E+06   1.2415828E+06   2.6600685E+06   2.3312458E+06   2.3425042E+06
    0.4000   1.6104194E+06   1.2478264E+06   1.2463868E+06   2.6534862E+06   2.3353962E+06   2.3448960E+06
    0.4125   1.5997552E+06   1.2529440E+06   1.2516355E+06   2.6472078E+06   2.3393380E+06   2.3473395E+06
    0.4250   1.5887235E+06   1.2580138E+06   1.2571058E+06   2.6414508E+06   2.3429075E+06   2.3497220E+06
    0.4375   1.5778054E+06   1.2627228E+06   1.2625480E+06   2.6364178E+06   2.3459612E+06   2.3519232E+06
    0.4500   1.5674795E+06   1.2667742E+06   1.2677106E+06   2.6322852E+06   2.3483820E+06   2.3538198E+06
    0.4625   1.5581785E+06   1.2699142E+06   1.2723608E+06   2.6291995E+06   2.3500835E+06   2.3552918E+06
    0.4750   1.5502568E+06   1.2719525E+06   1.2763018E+06   2.6272672E+06   2.3510140E+06   2.3562282E+06
    0.4875   1.5439689E+06   1.2727741E+06   1.2793844E+06   2.6265555E+06   2.3511548E+06   2.3565328E+06
    0.5000   1.5394598E+06   1.2723435E+06   1.2815132E+06   2.6270852E+06   2.3505198E+06   2.3561315E+06
    0.5125   1.5367644E+06   1.2707009E+06   1.2826486E+06   2.6288332E+06   2.3491535E+06   2.3549770E+06
    0.5250   1.5358148E+06   1.2679546E+06   1.2828040E+06   2.6317312E+06   2.3471255E+06   2.3530532E+06
    0.5375   1.5364526E+06   1.2642701E+06   1.2820415E+06   2.6356702E+06   2.3445285E+06   2.3503778E+06
    0.5500   1.5384450E+06   1.2598561E+06   1.2804649E+06   2.6405038E+06   2.3414705E+06   2.3470015E+06
    0.5625   1.5415016E+06   1.2549515E+06   1.2782116E+06   2.6460532E+06   2.3380730E+06   2.3430078E+06
    0.5750   1.5452934E+06   1.2498118E+06   1.2754436E+06   2.6521128E+06   2.3344680E+06   2.3385102E+06
    0.5875   1.5494702E+06   1.2446960E+06   1.2723384E+06   2.6584590E+06   2.3307908E+06   2.3336455E+06
    0.6000   1.5536786E+06   1.2398559E+06   1.2690794E+06   2.6648548E+06   2.3271810E+06   2.3285698E+06
    0.6125   1.5575780E+06   1.2355242E+06   1.2658479E+06   2.6710560E+06   2.3237775E+06   2.3234518E+06
    0.6250   1.5608555E+06   1.2319070E+06   1.2628144E+06   2.6768215E+06   2.3207165E+06   2.3184660E+06
    0.6375   1.5632388E+06   1.2291745E+06   1.2601318E+06   2.6819145E+06   2.3181278E+06   2.3137868E+06
    0.6500   1.5645069E+06   1.2274561E+06   1.2579301E+06   2.6861130E+06   2.3161330E+06   2.3095822E+06
    0.6625   1.5644984E+06   1.2268349E+06   1.2563119E+06   2.6892152E+06   2.3148388E+06   2.3060085E+06
    0.6750   1.5631170E+06   1.2273450E+06   1.2553489E+06   2.6910462E+06   2.3143355E+06   2.3032052E+06
    0.6875   1.5603346E+06   1.2289706E+06   1.2550811E+06   2.6914658E+06   2.3146878E+06   2.3012892E+06
    0.7000   1.5561914E+06   1.2316468E+06   1.2555162E+06   2.6903778E+06   2.3159320E+06   2.3003498E+06
    0.7125   1.5507932E+06   1.2352616E+06   1.2566298E+06   2.6877372E+06   2.3180688E+06   2.3004442E+06
    0.7250   1.5443070E+06   1.2396625E+06   1.2583671E+06   2.6835595E+06   2.3210598E+06   2.3015915E+06
    0.7375   1.5369525E+06   1.2446616E+06   1.2606458E+06   2.6779258E+06   2.3248230E+06   2.3037698E+06
    0.7500   1.5289932E+06   1.2500449E+06   1.2633579E+06   2.6709875E+06   2.3292335E+06   2.3069118E+06
    0.7625   1.5207260E+06   1.2555812E+06   1.2663744E+06   2.6629642E+06   2.3341250E+06   2.3109052E+06
